PAR Name,FSA/ZIP Code,FSA/ZIP Code Name,Single Family Dwelling Units,Multi Family Dwelling Units,Total Dwelling Units,Businesses,Percentage of FSA/ZIP,Dealer,Authorization Codes
"Lake Mills, WI",53038,JOHNSON CREEK,"1,291",333,"1,624",170,99.26%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53094,WATERTOWN,"6,380","1,021","7,401",718,32.12%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53098,WATERTOWN,"4,145",616,"4,761",129,0.01%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53137,HELENVILLE,642,0,642,28,63.37%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53190,WHITEWATER,"5,208","2,000","7,208",508,2.50%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53523,CAMBRIDGE,"2,159",136,"2,295",192,38.00%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53531,DEERFIELD,"1,601",103,"1,704",93,0.04%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53534,EDGERTON,"4,817",607,"5,424",280,8.92%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53538,FORT ATKINSON,"6,744","1,259","8,003",575,82.92%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53549,JEFFERSON,"3,514",800,"4,314",349,71.01%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53551,LAKE MILLS,"3,058",706,"3,764",342,100.00%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53559,MARSHALL,"1,886",452,"2,338",100,3.10%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53563,MILTON,"4,229",421,"4,650",300,5.64%,48345,"C,H,D,BW,DW"
"Lake Mills, WI",53594,WATERLOO,"1,851",277,"2,128",135,49.94%,48345,"C,H,D,BW,DW"
"Bridgewater, NS",B0J,HALIFAX,"15,565","1,427","16,992","1,654",33.89%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0N,EAST HANTS,"14,188","1,877","16,065","1,325",54.79%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0P,KINGS,"14,537","1,857","16,394","1,138",100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0R,LUNENBURG MUNICIPAL DISTRICT,"2,599",112,"2,711",129,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0S,ANNAPOLIS,"7,640","1,088","8,728",888,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0T,QUEENS,"6,707",811,"7,518",854,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0V,DIGBY MUNICIPAL DISTRICT,"2,205",622,"2,827",408,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B0W,ARGYLE,"12,851",719,"13,570","1,207",99.87%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2N,TRURO,"5,273","6,788","12,061","1,248",0.02%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2R,HALIFAX,"1,304",133,"1,437",74,46.19%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2S,EAST HANTS,"2,492",249,"2,741",210,79.83%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2T,HALIFAX,"4,743",661,"5,404",365,39.36%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2W,HALIFAX,"11,847","3,246","15,093",774,0.19%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2X,HALIFAX,"4,178","2,859","7,037",327,0.02%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B2Y,HALIFAX,"3,377","7,600","10,977",781,93.88%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3A,HALIFAX,"3,443","14,361","17,804",562,92.75%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3B,HALIFAX,271,487,758,"1,799",99.06%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3H,HALIFAX,"2,391","13,980","16,371",951,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3J,HALIFAX,127,"8,035","8,162","1,785",100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3K,HALIFAX,"3,928","12,849","16,777","1,623",100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3L,HALIFAX,"3,821","8,002","11,823",862,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3M,HALIFAX,"4,761","16,852","21,613",606,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3N,HALIFAX,"3,251","5,796","9,047",227,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3P,HALIFAX,"3,037","3,136","6,173",125,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3R,HALIFAX,"2,190","2,705","4,895",169,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3S,HALIFAX,"1,239","8,745","9,984",460,100.00%,52083000,"C,WV,H,D,BW,DW"
"Bridgewater, NS",B3T,HALIFAX,"5,392",421,"5,813",284,100.00%,52083000,"C,WV,H,D,BW,DW"
